gene_name,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
CLIC4,11.275193511730366,11.525073333784542,11.387806387930343,11.380178330066292,11.696958258843376,11.535201466578291,11.291054011173367,11.329357260355707,11.440224823921188,12.079915659213807,11.402219332462119,11.351705114624165,11.496486858961267,11.52665167711733,11.24841282745743,11.241762427832397,11.346557494562683,11.96561953913097,11.379577898636006,11.313763355661498,11.633457243367072,11.437317147226889,11.276572156596922,11.345492043925256
TMEM50A,11.682633316539922,11.62809735074558,11.53741897331632,11.79597907865978,11.757588254144165,11.644730510607156,11.537458604384112,11.735050079314288,11.787008747846,12.27744955518422,11.761266829130768,11.727223901433156,11.796773059838202,11.803834640307702,11.882047770534191,11.685274108622348,11.794176393113256,12.17827740416287,11.7168766836821,11.727667086596114,11.835032758266966,11.696384944553776,11.629920443659902,11.747498808655907
SDHD,10.491309752651546,10.458562311817584,10.539197476322235,10.488965327490137,10.603861820108518,10.46972982322059,10.531781485742064,10.43685510390202,10.600920416253878,10.512633518150563,10.45683565294363,10.474215710269513,10.472874378509438,10.404200960070574,10.513814020017612,10.56480467153579,10.539319326800241,10.237509379784553,10.48666231287677,10.376875411921072,10.498447556799528,10.587340102242822,10.570505027194281,10.377825320547704
SEPN1,11.665448984806735,11.567692585051395,11.643431263643684,11.542575188592126,11.479259149790515,11.565960856432552,11.655981193594684,11.592918306748253,11.90782340471719,11.847482564373301,11.797954610565617,11.839205871800242,11.735804172572788,11.728370902121297,11.80892569821914,11.859626469018245,11.97110819116265,11.831333105577867,11.863688276616127,11.905908808674877,11.836101515023037,11.907007053769025,11.968281951596193,11.814443299485948
CD52,12.016141462343624,12.068436295631448,12.086422275297773,12.070599945318481,11.926963011386913,12.041310503480897,12.138900998363486,12.076511041099412,12.113917228882588,12.117382456385073,12.142777861359852,12.11246898557046,12.085096380778303,12.033460870899257,12.072645464343134,12.101769242652294,12.154056372257076,12.114826687523303,12.165728687136939,12.352968189296927,12.107535765922625,12.198512137618273,12.205922312615053,12.15328356943519
HMGN2,11.94397127240303,11.922653062703178,11.844403094414435,11.934349360961162,11.706549275383962,11.68749746969535,11.919254732051208,11.553266909114031,11.533313988924622,11.529090306014629,11.63364761334028,11.757239892778326,11.5756389256315,11.54936668166537,11.814326647141836,11.849296026912741,11.997309539323773,11.422495471363453,11.735270618790274,11.798574417313855,11.668606355746673,11.700619812516416,11.629171104703568,12.037864790679548
RPS6KA1,11.196467854529876,10.904889746384157,11.06701634102607,11.07394196860038,10.802528599772305,10.991088473050288,11.086756785141038,11.148095159823626,11.208057622788061,11.012106905326235,11.093924264271038,11.17653210802875,10.991607544222903,11.15834909568283,11.29112217631847,11.242340215336851,11.325329689718785,10.844898021364685,11.177364572892477,11.12814590642769,11.026603173536145,11.26093439600746,11.239165155896707,11.275998904967171
CCDC72,10.947790457573282,10.897401634913626,10.800238599940675,11.097228650259455,10.811171492929587,10.885581964714792,10.840992151915907,11.094705559976488,10.921160360784897,10.947977361874528,10.985885830143573,11.089184775976822,10.953061592479685,11.15334680237357,11.04618615321899,11.041051003009146,10.978465152562391,11.126934698494168,11.022225725640457,11.05793099091226,10.894197196353995,11.078574774401044,11.017001142122673,11.341334249332052
STX12,10.361141192068075,10.183021804154977,10.296857925877042,10.35678416324241,10.362828895580227,10.278489270554807,10.283766993192513,10.301387010746335,10.213254158166537,10.655482604812416,10.267521513777792,10.21062906648474,10.25056585176318,10.30261746280827,10.17487956299228,10.172516841571785,10.17731355898051,10.47998857925608,10.275611900918229,10.071550412711048,10.325338927458564,10.291019482956148,10.234711254081697,10.25816878961052
PHACTR4,10.667576759340466,10.638456941725094,10.69015160924848,10.724861712368849,10.521335164776465,10.612009512335007,10.643684488851449,10.655644241113443,10.40784325493719,11.708157632242472,10.421005715229121,10.490010977959452,10.351424275456898,10.471107881159103,10.461956938479382,10.557751679240035,10.445965116551456,11.615068145174057,10.370500613987122,10.395791392447952,10.220460928030938,10.459963683593442,10.447503535308506,10.555031325686045
EIF3I,11.026265906099729,10.943160094460513,11.062751421233884,11.005581709904336,11.095867994320585,11.058711100452726,11.108095450911337,11.016545109749819,11.051767553245348,11.238528799438106,11.077874606759165,11.093948269955236,11.082642870996777,11.054858536500229,11.041542532927517,11.061811505755406,11.030938040020168,11.061243362723859,11.095451581437933,11.077990961773393,11.09978804037483,11.00658201903614,11.003433111419978,11.01646656794363
HDAC1,10.376654129858665,10.418372447850249,10.376740073815661,10.433383247909719,10.217596353750253,10.240295194083204,10.358162341520082,10.431133358122606,10.338804877751143,9.893693306175738,10.267391839727045,10.327244979738783,10.254457271110352,10.350284026198308,10.37732546393976,10.411810525097657,10.430974295464244,9.96026441235664,10.34298968495577,10.274066806882397,10.264689478646703,10.428887962184366,10.283728013012052,10.29869729219574
RBBP4,11.493415508882602,11.291422261451073,11.3475699732712,11.506620312144713,11.378578426729716,11.312931353750487,11.426875518745055,11.470326646738885,11.442858194943657,11.108447221191508,11.456223587135382,11.41270374776619,11.379624848796317,11.451457523600286,11.37707897596274,11.54694381057313,11.589017731277577,11.12254388880747,11.327974913294494,11.475156307817377,11.442029923459414,11.493281477986145,11.476585710821709,11.467467344924035
ZMYM4,10.247816679421096,9.898765494649904,10.034315069937412,10.118508117464229,10.155589084482138,9.95199145551492,10.101178409797166,9.992677281720292,10.128966259812344,10.300388794266356,10.08467112729542,10.116236148150927,10.138222267131773,10.120058718563728,10.04860497858558,10.119380314869023,10.042235732314408,10.125398042292185,10.013318384957246,9.903351721566663,9.983631422752017,9.977695318166523,10.078419130162503,9.979975350940405
